Title,Top 3 Holland Codes
Nhà sản xuất và đạo diễn,"Artistic (6.14), Enterprising (5.78), Conventional (3.56)"
Giám đốc/Quản lý kỹ thuật truyền thông,"Enterprising (5.18), Conventional (4.47), Realistic (3.96)"
Giám đốc âm nhạc và nhà soạn nhạc,"Artistic (7.0), Enterprising (4.82), Social (3.04)"
Nhạc sĩ và ca sĩ,"Artistic (6.66), Enterprising (3.42), Social (3.41)"
"Nhà thơ, nhà viết lời và nhà văn sáng tạo","Artistic (7.0), Investigative (3.58), Enterprising (3.17)"
Nhiếp ảnh gia,"Realistic (5.54), Artistic (5.28), Conventional (3.35)"
Biên tập phim và video,"Artistic (5.61), Conventional (3.75), Realistic (3.14)"
Bác sĩ chỉnh nha,"Realistic (6.17), Investigative (5.54), Social (4.59)"
Nhà trị liệu bức xạ,"Realistic (4.96), Social (4.77), Investigative (4.64)"
Y tá gây mê,"Social (5.35), Investigative (5.06), Realistic (4.78)"
Y tá hộ sinh,"Social (5.96), Investigative (4.25), Conventional (3.4)"
Bác sĩ gây mê,"Investigative (5.73), Social (5.25), Realistic (5.18)"
Bác sĩ da liễu,"Investigative (6.44), Realistic (4.81), Social (4.65)"
Bác sĩ cấp cứu,"Investigative (5.64), Social (5.6), Conventional (4.22)"
Bác sĩ Nội tổng quát,"Investigative (6.81), Social (6.08), Realistic (4.43)"
Bác sĩ sản khoa và phụ khoa,"Investigative (5.5), Social (5.45), Realistic (4.59)"
Bác sĩ Y học Vật lý và Phục hồi chức năng,"Investigative (6.26), Social (6.0), Realistic (4.92)"
Bác sĩ chỉnh hình và chân tay giả,"Realistic (6.0), Investigative (5.1), Social (4.3)"
Cố vấn di truyền,"Investigative (5.86), Social (5.45), Conventional (3.89)"
lính cứu hỏa,"Realistic (6.49), Conventional (3.47), Social (3.39)"
Cảnh sát và nhân viên tuần tra của cảnh sát trưởng,"Realistic (5.36), Conventional (4.35), Enterprising (4.08)"
Cảnh sát giao thông và đường sắt,"Realistic (6.17), Conventional (4.94), Enterprising (3.21)"
Hướng dẫn du lịch,"Social (4.84), Enterprising (4.61), Conventional (4.3)"
Đại lý bán bảo hiểm,"Enterprising (5.95), Conventional (5.46), Social (3.71)"
Môi giới bất động sản,"Enterprising (6.48), Conventional (5.76), Social (2.9)"
Đại lý bán bất động sản,"Enterprising (6.46), Conventional (4.94), Social (3.52)"
Phi công thương mại,"Conventional (4.82), Realistic (4.79), Enterprising (3.92)"
"Thuyền trưởng, thuyền phó và hoa tiêu của tàu nước","Realistic (5.61), Conventional (4.56), Enterprising (4.22)"
Nhà khoa học dữ liệu,"Conventional (5.94), Enterprising (5.09), Investigative (4.49)"
Chuyên gia kiểm thử xâm nhập,"Conventional (6.08), Investigative (5.4), Realistic (3.56)"
Kỹ sư Blockchain,"Investigative (6.05), Conventional (5.62), Realistic (3.61)"
Chuyên viên phân tích pháp y kỹ thuật số,"Conventional (6.08), Investigative (5.4), Realistic (3.56)"
Nhà thiết kế giao diện web và kỹ thuật số,"Artistic (7.0), Conventional (3.92), Enterprising (3.43)"
Nhà phân tích tài chính và đầu tư,"Enterprising (7.0), Conventional (5.56), Social (3.04)"
