Ngành Tiếng Việt,Trường,Mã ngành,Tổ hợp,Phương thức,Điểm chuẩn,Ghi chú
An toàn thông tin,Điểm chuẩn năm 2024 - DTC - Trường đại học công nghệ thông tin và truyền thông (ĐH Thái Nguyên),7480202,A00; C01; C14; D01,Điểm chuẩn theo Điểm học bạ năm 2024,20.5,
An toàn thông tin,Điểm chuẩn năm 2024 - KCN - Trường Đại học Khoa học và Công nghệ Hà Nội,7480202,A00; A01; A02; D07,Điểm chuẩn theo Điểm thi THPT năm 2024,23,
An toàn thông tin,Điểm chuẩn năm 2024 - VKU - Trường Đại học Công nghệ Thông tin và Truyền thông Việt – Hàn (ĐH Đà Nẵng),7480202,A00; A01; D01; D90,Điểm chuẩn theo Điểm thi THPT năm 2024,23,
An toàn thông tin,Điểm chuẩn năm 2024 - VKU - Trường Đại học Công nghệ Thông tin và Truyền thông Việt – Hàn (ĐH Đà Nẵng),7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm học bạ năm 2024,24,
An toàn thông tin,Điểm chuẩn năm 2024 - VKU - Trường Đại học Công nghệ Thông tin và Truyền thông Việt – Hàn (ĐH Đà Nẵng),7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
An toàn thông tin,Điểm chuẩn năm 2024 - KSA-Trường đại học Kinh Tế TP.HCM,7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm thi THPT năm 2024,24.8,
An toàn thông tin,Điểm chuẩn năm 2024 - KSA-Trường đại học Kinh Tế TP.HCM,7480202,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,Điểm chuẩn theo Điểm học bạ năm 2024,49,Điểm tối đa là 100
An toàn thông tin,Điểm chuẩn năm 2024 - KSA-Trường đại học Kinh Tế TP.HCM,7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,800,
An toàn thông tin,Điểm chuẩn năm 2024 - KSA-Trường đại học Kinh Tế TP.HCM,7480202,,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",49,Xét tuyển học sinh giỏi; điểm tối đa là 100
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90,Điểm chuẩn theo Điểm thi THPT năm 2024,24.89,
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,25.75,HS Trường Chuyên
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,26,HS trường TOP 200
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,28.5,Các trường còn lại
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,22,"THPT Liên kết, trường chuyên"
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,22,"THPT Liên kết, trường TOP 200"
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm học bạ năm 2024,23.5,"Trường liên kết, diện trường còn lại"
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,24,Các ngành không có môn năng khiếu
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",25,"Giải HSG 1, 2, 3 Tỉnh, KK ; giải 4 thi KHKT cấp quốc gia."
An toàn thông tin,Điểm chuẩn năm 2024 - SPK-Trường đại học Sư Phạm Kỹ Thuật TP.HCM,7480202V,A00; A01; D01; D90; D96,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",25.75,"UTXT HSG, TOP 214"
An toàn thông tin,Điểm chuẩn năm 2024 - DCT - Trường đại học Công thương TP.HCM,7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm thi THPT năm 2024,20,
An toàn thông tin,Điểm chuẩn năm 2024 - DCT - Trường đại học Công thương TP.HCM,7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm học bạ năm 2024,22,"Lớp 10, 11 và HK1 lớp 12"
An toàn thông tin,Điểm chuẩn năm 2024 - DCT - Trường đại học Công thương TP.HCM,7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,600,
An toàn thông tin,Điểm chuẩn năm 2024 - DCT - Trường đại học Công thương TP.HCM,7480202,A00; A01; D01; D07,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",24,
An toàn thông tin,Điểm chuẩn năm 2024 - DCN - Đại học công nghiệp Hà Nội,74802021,A00; A01,Điểm chuẩn theo Điểm thi THPT năm 2024,24.39,
An toàn thông tin,Điểm chuẩn năm 2024 - DCN - Đại học công nghiệp Hà Nội,74802021,A00; A01,Điểm chuẩn theo Điểm học bạ năm 2024,28.29,
An toàn thông tin,Điểm chuẩn năm 2024 - DCN - Đại học công nghiệp Hà Nội,74802021,A00; A01,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,25.5,
An toàn thông tin,Điểm chuẩn năm 2024 - KMA - Học viện KỸ THUẬT MẬT MÃ,7480202KMA,A00; A01; D90,Điểm chuẩn theo Điểm thi THPT năm 2024,25.95,
An toàn thông tin,Điểm chuẩn năm 2024 - KMA - Học viện KỸ THUẬT MẬT MÃ,7480202KMP,A00; A01; D90,Điểm chuẩn theo Điểm thi THPT năm 2024,24.85,Phân hiệu TPHCM
An toàn thông tin,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7480202,A00; A01,Điểm chuẩn theo Điểm thi THPT năm 2024,25.85,TTNV<=2
An toàn thông tin,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7480202,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,21.6,
An toàn thông tin,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7480202,,Điểm chuẩn theo Điểm Đánh giá Tư duy năm 2024,21.6,
An toàn thông tin,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7480202,A00; A01,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,26.8,Học bạ và CCQT
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm thi THPT năm 2024,35,Môn Toán hệ số 2
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,21.48,
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,21.48,
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,,Điểm chuẩn theo Điểm Đánh giá Tư duy năm 2024,21.48,
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,A00; A01; D01; D07,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,26.5,Điểm thi tốt nghiệp kết hợp CCQT
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,21.48,CCTAQT kết hợp với điểm thi HSA/APT/TSA 2023 hoặc 2024
An toàn thông tin,Điểm chuẩn năm 2024 - KHA - Đại học kinh tế quốc dân,7480202,,Điểm chuẩn theo Chứng chỉ quốc tế năm 2024,27,CCQT SAT hoặc ACT
An toàn thông tin,Điểm chuẩn năm 2024 - QSC- Trường đại học Công Nghệ Thông Tin (ĐHQG-TP.HCM),An toàn Thông tin,"26,7","2021
DGNL",880,27
Báo chí,Điểm chuẩn năm 2024 - TCT-Trường đại học Cần Thơ,7320101,C00; D01; D14; D15,Điểm chuẩn theo Điểm thi THPT năm 2024,26.87,
Báo chí,Điểm chuẩn năm 2024 - TCT-Trường đại học Cần Thơ,7320101,C00; D01; D14; D15,Điểm chuẩn theo Điểm học bạ năm 2024,27.7,
Báo chí,Điểm chuẩn năm 2024 - ZNH - ĐẠI HỌC VĂN HOÁ-NGHỆ THUẬT QUÂN ĐỘI,7320101,C00,Điểm chuẩn theo Điểm thi THPT năm 2018,24,
Báo chí,Điểm chuẩn năm 2024 - DTZ - Trường đại học khoa học (ĐH Thái Nguyên),7320101,C00; C14; D01; D84,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Báo chí,Điểm chuẩn năm 2024 - DTZ - Trường đại học khoa học (ĐH Thái Nguyên),7320101,C00; C14; D01; D84,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Báo chí,Điểm chuẩn năm 2024 - DTZ - Trường đại học khoa học (ĐH Thái Nguyên),7320101,C00; D01; C14; D84,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Báo chí,Điểm chuẩn năm 2024 - DHT- Trường đại học khoa học(ĐH Huế),7320101,C00; D01; D15,Điểm chuẩn theo Điểm thi THPT năm 2024,18,
Báo chí,Điểm chuẩn năm 2024 - DHT- Trường đại học khoa học(ĐH Huế),7320101,C00; D01; D15,Điểm chuẩn theo Điểm học bạ năm 2024,22,
Báo chí,Điểm chuẩn năm 2024 - DHT- Trường đại học khoa học(ĐH Huế),7320101,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
Báo chí,Điểm chuẩn năm 2024 - DDS-Trường đại học Sư Phạm ( ĐH Đà Nẵng),7320101,C00; D01; C14; D66,Điểm chuẩn theo Điểm thi THPT năm 2024,25.8,
Báo chí,Điểm chuẩn năm 2024 - DDS-Trường đại học Sư Phạm ( ĐH Đà Nẵng),7320101,C00; D01; C14; D66,Điểm chuẩn theo Điểm học bạ năm 2024,26.9,
Báo chí,Điểm chuẩn năm 2024 - DDS-Trường đại học Sư Phạm ( ĐH Đà Nẵng),7320101,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,780,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,C00,Điểm chuẩn theo Điểm thi THPT năm 2024,28.8,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D01,Điểm chuẩn theo Điểm thi THPT năm 2024,26.7,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D14,Điểm chuẩn theo Điểm thi THPT năm 2024,27.4,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,C00,Điểm chuẩn theo Điểm thi THPT năm 2024,27.73,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D01,Điểm chuẩn theo Điểm thi THPT năm 2024,26.35,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D14,Điểm chuẩn theo Điểm thi THPT năm 2024,27.1,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_LKD,A01,Điểm chuẩn theo Điểm thi THPT năm 2024,21,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_LKD,D01,Điểm chuẩn theo Điểm thi THPT năm 2024,21,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_LKD,D14,Điểm chuẩn theo Điểm thi THPT năm 2024,21,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_LKD,D15,Điểm chuẩn theo Điểm thi THPT năm 2024,21,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D01; D14; D15,Điểm chuẩn theo Điểm học bạ năm 2024,28.5,"Thành tích XS, nổi bật trong HĐ XH, Văn nghệ, TT"
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D01; D14; D15,Điểm chuẩn theo Điểm học bạ năm 2024,28.2,"Thành tích XS, nổi bật trong HĐ XH, Văn nghệ, TT"
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,875,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,855,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",28.5,
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",27.4,UTXTT Thí sinh giỏi nhất THPT
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",28.7,"Tham dự HSG QG hoặc đạt giải 1,2,3 HSG cấp tỉnh/TP"
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",27,UTXTT Thí sinh giỏi nhất THPT
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",28.4,"Tham dự HSG QG hoặc đạt giải 1,2,3 HSG cấp tỉnh/TP"
Báo chí,Điểm chuẩn năm 2024 - QSX-Trường đại học Khoa Học Xã Hội và Nhân Văn (ĐHQG TP.HCM),7320101_CLC,D01; D14; D15,"Điểm chuẩn theo ƯTXT, XT thẳng năm 2024",28.3,
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,D01; D09; D14; D15; C19,Điểm chuẩn theo Điểm thi THPT năm 2024,27.9,
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,C00,Điểm chuẩn theo Điểm thi THPT năm 2024,28.9,
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,C00,Điểm chuẩn theo Điểm học bạ năm 2024,28.54,
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,D01; D09; D14; D15; C19,Điểm chuẩn theo Điểm học bạ năm 2024,27.54,
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,C00,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,29.51,Kết hợp học bạ với QĐ của Trường
Báo chí,Điểm chuẩn năm 2024 - VHH - Trường đại học văn hóa Hà Nội,7320101,D01; D09; C19,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,28.51,Kết hợp học bạ với QĐ của Trường
Báo chí,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7320101,A00; A01; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,25.29,TTNV=1
Báo chí,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7320101,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,18.5,
Báo chí,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7320101,,Điểm chuẩn theo Điểm Đánh giá Tư duy năm 2024,18.5,
Báo chí,Điểm chuẩn năm 2024 - BVH BVS - Học viện công nghệ bưu chính viễn thông,7320101,A00; A01; D01,Điểm chuẩn theo Điểm xét tuyển kết hợp năm 2024,26.73,Học bạ và CCQT
Bất động sản,Điểm chuẩn năm 2024 - UEF - Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,7340116,A00; A01; D01; C00,Điểm chuẩn theo Điểm thi THPT năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - UEF - Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,7340116,A00; A01; D01; C00,Điểm chuẩn theo Điểm học bạ năm 2024,18,Học bạ lớp 12
Bất động sản,Điểm chuẩn năm 2024 - UEF - Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,7340116,A00; A01; D01; C00,Điểm chuẩn theo Điểm học bạ năm 2024,18,Học bạ 3 học kỳ
Bất động sản,Điểm chuẩn năm 2024 - UEF - Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,600,
Bất động sản,Điểm chuẩn năm 2024 - DCQ - Trường đại học công nghệ và quản lý Hữu Nghị(*),7340116,A00; A01; D01; C00,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Bất động sản,Điểm chuẩn năm 2024 - DCQ - Trường đại học công nghệ và quản lý Hữu Nghị(*),7340116,A00; A01; D01; C00,Điểm chuẩn theo Điểm học bạ năm 2024,20,
Bất động sản,Điểm chuẩn năm 2024 - NLG-Phân hiệu đại học Nông Lâm TP.HCM tại Gia Lai,7340116G,A00; A01; A04; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,15,
Bất động sản,Điểm chuẩn năm 2024 - NLG-Phân hiệu đại học Nông Lâm TP.HCM tại Gia Lai,7340116G,A00; A01; A04; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - NLG-Phân hiệu đại học Nông Lâm TP.HCM tại Gia Lai,7340116G,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,600,
Bất động sản,Điểm chuẩn năm 2024 - DHL-Trường đại học Nông Lâm ( ĐH Huế),7340116,A00; B00; C00; C04,Điểm chuẩn theo Điểm thi THPT năm 2024,15,
Bất động sản,Điểm chuẩn năm 2024 - DHL-Trường đại học Nông Lâm ( ĐH Huế),7340116,A00; B00; C00; C04,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - DTM - Trường đại học Tài Nguyên và Môi Trường TP.HCM,7340116,A00; A01; B00; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Bất động sản,Điểm chuẩn năm 2024 - DTM - Trường đại học Tài Nguyên và Môi Trường TP.HCM,7340116,A00; A01; B00; D01,Điểm chuẩn theo Điểm học bạ năm 2024,19,
Bất động sản,Điểm chuẩn năm 2024 - DTM - Trường đại học Tài Nguyên và Môi Trường TP.HCM,7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,600,
Bất động sản,Điểm chuẩn năm 2024 - LNH LNS - Đại học LÂM NGHIỆP,7340116,A00; A16; C15; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,19.6,
Bất động sản,Điểm chuẩn năm 2024 - LNH LNS - Đại học LÂM NGHIỆP,7340116,A00; A16; C15; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - DKB - Trường đại học kinh tế - kỹ thuật Bình Dương (*),7340116,A00; A01; C01; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,14,
Bất động sản,Điểm chuẩn năm 2024 - DKB - Trường đại học kinh tế - kỹ thuật Bình Dương (*),7340116,A00; A01; C01; D01,Điểm chuẩn theo Điểm học bạ năm 2024,15,
Bất động sản,Điểm chuẩn năm 2024 - DKB - Trường đại học kinh tế - kỹ thuật Bình Dương (*),7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,550,
Bất động sản,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7340116,A00; A01; C00; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Bất động sản,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7340116,A00; A01; C00; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,Đợt 1; 3 HK; Lớp 12
Bất động sản,Điểm chuẩn năm 2024 - DKC - Trường đại học công nghệ TP.HCM (HUTECH)(*),7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
Bất động sản,Điểm chuẩn năm 2024 - DVL - Trường đại học dân lập Văn Lang (*),7340116,A00; A01; C04; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Bất động sản,Điểm chuẩn năm 2024 - DVL - Trường đại học dân lập Văn Lang (*),7340116,A00; A01; C04; D01,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - DVL - Trường đại học dân lập Văn Lang (*),7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
Bất động sản,Điểm chuẩn năm 2024 - DNC - Trường đại học nam Cần Thơ(*),7340116,A00; B00; C05; C08,Điểm chuẩn theo Điểm thi THPT năm 2024,16,
Bất động sản,Điểm chuẩn năm 2024 - DNC - Trường đại học nam Cần Thơ(*),7340116,A00; B00; C05; C08,Điểm chuẩn theo Điểm học bạ năm 2024,18,
Bất động sản,Điểm chuẩn năm 2024 - NLS-trường đại học Nông Lâm TP.HCM,7340116,A00; A01; A04; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,19.75,
Bất động sản,Điểm chuẩn năm 2024 - NLS-trường đại học Nông Lâm TP.HCM,7340116,A00; A01; A04; D01,Điểm chuẩn theo Điểm học bạ năm 2024,21,
Bất động sản,Điểm chuẩn năm 2024 - NLS-trường đại học Nông Lâm TP.HCM,7340116,,Điểm chuẩn theo Điểm ĐGNL HCM năm 2024,650,
Bất động sản,Điểm chuẩn năm 2024 - DMT - Trường đại học tài nguyên và môi trường Hà Nội,7340116,A00; A01; C00; D01,Điểm chuẩn theo Điểm thi THPT năm 2024,24.75,
Bất động sản,Điểm chuẩn năm 2024 - DMT - Trường đại học tài nguyên và môi trường Hà Nội,7340116,A00; A01; C00; D01,Điểm chuẩn theo Điểm học bạ năm 2024,26.5,
Bất động sản,Điểm chuẩn năm 2024 - DMT - Trường đại học tài nguyên và môi trường Hà Nội,7340116,,Điểm chuẩn theo Điểm ĐGNL HN năm 2024,80,
